event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
17,25,26,56,54,55,21,-1,1,21,2.584378719329834,5.431637947315199,29.502690790714468,0.3474721571259422,0.1361508822716675,6.899543373344906e-06
17,40,39,135,133,134,21,-3,3,-1,1.1311012506484985,2.297794869610946,5.279861262810385,0.4210733016824111,0.41305774777875587,3.641253554654423e-06
17,151,72,168,166,167,21,1,-1,2,0.8938636183738708,1.87068147437629,3.4994491785746504,0.6378142028601588,0.6643086081678901,3.815162898494067e-06
17,87,86,147,145,146,21,-1,1,-2,1.0295872688293457,2.3473519825407094,5.510061329937798,0.2696493477651149,0.1327843539632073,8.678567277527473e-07
17,172,173,183,181,182,21,-3,3,21,0.7763538360595703,1.6903571389307537,2.8573072571341633,0.6593380061802796,0.7417776893961201,1.3539777580936437e-07
22,16,17,20,18,19,21,-2,2,21,2.366917133331299,4.786220501658487,22.90790669049602,0.5750844999959993,0.5486425699257194,3.259322373408636e-05
52,15,14,21,19,20,21,1,-1,21,0.6459383964538574,1.6113580424761558,2.596474741052589,0.7726233221634082,0.8524306157169282,5.671502145018756e-07
53,17,22,27,25,26,21,3,-3,21,0.5630537867546082,1.1314760535745505,1.280238059812639,0.5227591619939846,0.44651641196276415,3.770464935564993e-07
102,15,14,21,19,20,21,1,-1,21,0.6398137807846069,1.433387554409414,2.0545998811358004,0.29925835293873687,0.14738005971509213,8.529987477415127e-06
120,15,16,23,21,22,21,2,-2,21,0.7278291583061218,1.6291568402775127,2.654152010223009,0.7052776231373818,0.7070969682204827,1.3783574104309082e-07
174,8,9,12,10,11,21,3,-3,2,0.7405751347541809,1.4977830458501764,2.2433540524362314,0.44467940050966975,0.4439902587736679,6.74606771076054e-07
183,27,26,38,36,37,21,3,-3,2,0.9398344159126282,1.9510705439580431,3.806676267500734,0.6125139822887148,0.09388159805937553,2.2243429566298768e-05
199,12,7,18,16,17,21,2,-2,2,0.5697333216667175,1.107896346169652,1.2274343138560653,0.3569807729125293,0.4675278564587321,0.00017263351529568554
303,8,7,12,10,11,21,2,-2,1,1.8286628723144531,3.961086528491116,15.690206486193802,0.6893436481919689,0.30392000969312943,1.5838868943285822e-05
313,13,12,23,21,22,21,1,-1,21,1.3016070127487183,2.668096304613653,7.118737890693032,0.3938111406134895,0.14231452686340737,4.470348358154297e-08
319,23,24,41,39,40,21,-3,3,21,0.7717562317848206,1.5524281249465945,2.4100330831251995,0.4590666332496163,0.24305939398127618,1.5085723936980542e-06
328,17,14,22,20,21,21,-1,1,21,0.540460467338562,1.1515627585470876,1.326096786872578,0.6412979825397689,0.5117186312068934,2.2512592270580125e-07
346,17,18,21,19,20,21,-1,1,-2,0.5317394733428955,1.3342798100190183,1.7803026114243874,0.762432196478103,0.7986928799179268,6.05288029062447e-08
379,12,7,18,16,17,21,1,-1,2,0.5089222192764282,1.1271356046956555,1.2704346713726409,0.3079262147730169,0.5299513679012308,7.450580596923828e-08
397,8,9,12,10,11,21,-2,2,-2,0.5241814255714417,1.0619549218045008,1.1277482559448035,0.5624705616848381,0.6049232705201211,2.463202961506924e-07
429,10,7,15,13,14,21,3,-3,2,0.7953353524208069,1.703349102334019,2.9013981644221083,0.6447714649789807,0.5497709956903727,2.521408600551208e-07
432,15,14,18,16,17,21,2,-2,21,0.5033876895904541,1.007183256371454,1.0144181119150062,0.5107398501841642,0.5639515325826515,6.423074621633383e-07
445,16,17,24,22,23,21,3,-3,21,0.5508174300193787,1.1202628414422726,1.2549888339163147,0.4590749803384735,0.3421031738417678,4.868029422736059e-07
460,19,15,24,22,23,21,-2,2,21,0.5857203006744385,1.395360895356623,1.9470320282904368,0.26063728459025626,0.2387852457942712,1.819894867035392e-06
479,14,13,21,19,20,21,-4,4,21,1.4320166110992432,3.0612612003151876,9.371320136555184,0.46485335652132503,0.4539014882215367,5.364418029785156e-07
479,44,45,58,56,57,21,1,-1,21,0.6106659770011902,1.2598782550685288,1.587293217594521,0.3954531462846139,0.0796407681835732,1.8940454451570154e-07
489,8,9,12,10,11,21,-2,2,-2,1.3543654680252075,7.59754363925535,57.722669350389424,0.9653764836053137,0.9563893348946177,5.933282383574387e-06
500,17,16,27,25,26,21,-2,2,21,0.6111236810684204,1.2261782074693044,1.5035129964726366,0.4658083986111879,0.7835259134954352,2.6992498256747284e-06
515,12,13,16,14,15,21,2,-2,2,0.6546188592910767,1.9334176602772883,3.738103849072104,0.1542225986254554,0.6261245233071524,3.84912310870948e-05
