event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
3,11,12,16,14,15,-2,-2,21,21,0.5899739265441895,1.208106142204669,1.459520450832648,0.43677276404230436,0.3601568074148847,1.144409558643563e-05
5,6,5,9,7,8,2,2,21,-1,0.9511817693710327,5.441427768833054,29.609136163427472,0.9685607416926422,0.9873679449101643,1.1494468786789703e-05
5,9,8,16,14,15,-1,-1,21,21,0.8124455809593201,1.678021877505578,2.815757421387345,0.39844252466454927,0.40624005720946366,2.1963421960150713e-07
6,6,5,9,7,8,3,3,21,-1,0.7671792507171631,2.2884712842892814,5.237100819016632,0.8769174553804449,0.2817227347249857,4.349425352745711e-05
7,6,5,9,7,8,-2,-2,21,1,0.6215981245040894,2.920291897147708,8.528104764546558,0.9530296957636141,0.4883074732201655,1.9054851341783139e-06
10,5,6,21,19,20,2,2,21,-2,1.1775784492492676,2.512824468154247,6.314286807754676,0.6798472962810213,0.4689724133311208,4.266652895980489e-06
10,25,24,32,30,31,1,1,21,21,0.5932173132896423,1.2409995178564923,1.5400798033200465,0.3964797689258928,0.6335925879258673,1.468487900406202e-08
11,6,5,9,7,8,-3,-3,21,1,0.6453118920326233,2.4745164428101063,6.123231625737581,0.9294844176081882,0.920005087415221,7.275006485403432e-07
16,5,6,9,7,8,-2,-2,21,2,0.7664871215820312,1.6385498627498183,2.6848456527174482,0.6891849677452991,0.6895052568734417,4.786961795153919e-07
16,9,8,12,10,11,2,2,21,21,0.5666431188583374,1.520617051998714,2.3122762188292603,0.8408708910169426,0.8487189509560665,1.0998631767777165e-06
17,30,29,74,72,73,2,2,21,21,2.3919785022735596,6.04405672019203,36.53062163689844,0.19681108741514738,0.18281913702475835,9.287620153800228e-06
17,37,38,83,81,82,2,2,21,21,2.1777069568634033,4.430951076275218,19.63332744034451,0.5941820768783256,0.6038134616376581,4.951133646320149e-07
17,55,56,156,154,155,1,1,21,21,0.9728191494941711,2.237643992580858,5.007050637533204,0.7523499982035939,0.4703526709994334,3.628057907470036e-06
17,63,64,97,95,96,2,2,21,21,1.8492974042892456,4.4967230509932845,20.22051819733435,0.7855312988864993,0.780512316053037,2.026612705303681e-06
17,135,134,189,187,188,-1,-1,21,3,0.76156085729599,1.6602387516927133,2.756392712622179,0.3276050293722078,0.3606834241120975,2.9327665806156502e-06
18,6,5,9,7,8,-1,-1,21,1,2.2032012939453125,6.8633677478584545,47.105816842343636,0.8836212237931245,0.9185820322405736,2.2907209591107612e-05
21,5,6,13,11,12,1,1,21,-1,1.1614744663238525,2.7420388736284798,7.518777184489742,0.7704897964074311,0.8108323342339954,3.411975467616153e-05
22,6,5,13,11,12,-3,-3,21,2,3.0501649379730225,6.132426562012643,37.60665553847821,0.5540443704835911,0.22876918026670823,2.1341459500751683e-06
22,13,12,52,50,51,2,2,21,21,0.7032873630523682,1.4595376953969967,2.1302502842847764,0.651291973493119,0.9757275903148556,2.1246862634789535e-06
22,19,20,37,35,36,2,2,21,21,0.8454906940460205,1.9482720564981817,3.7957640061316544,0.7550606181634584,0.7922270862545945,1.945182223280923e-05
23,6,5,9,7,8,1,1,21,-1,0.5536478161811829,1.3575488404290301,1.842938854150204,0.8010254595394635,0.19808610482417638,3.514578415104964e-05
29,6,5,9,7,8,2,2,21,-1,0.8472051620483398,2.4673129833243794,6.087633357681049,0.8658612587376321,0.9022300086757001,4.0099354246983915e-06
30,5,6,9,7,8,-2,-2,21,1,0.7176200151443481,1.4643332521952162,2.1442718734846187,0.6183754534299355,0.6145707209996295,3.933913610643504e-06
30,12,11,15,13,14,1,1,21,21,0.635400652885437,1.6341220459730033,2.670354861134994,0.8216135565448082,0.572407850657678,1.6118070224511577e-07
33,6,5,9,7,8,-2,-2,21,1,0.6958386898040771,2.294188488929214,5.263300822735311,0.8995775886761112,0.2600172868814588,9.72615172245123e-07
41,5,6,9,7,8,-3,-3,21,1,1.0691255331039429,2.2822980906690424,5.208884574671556,0.6897110872614186,0.11385611685588452,7.211299915649212e-07
