event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
122,4,13,3,6,5,2,2,1,1,2.6591708660125732,7.48772110825252,56.06596739497036,0.6158206524436914,0.8517093132099028,0.00984032986809204
140,3,17,4,5,6,2,2,1,1,1.091341495513916,6.9207783780362915,47.897173357894644,0.6574370061460616,0.9723032894096453,0.01961532163877453
254,3,9,4,5,6,2,2,1,1,1.1687443256378174,6.6984622981794475,44.869397160131484,0.6546337423333554,0.9664241703548623,0.008123914162695367
264,4,9,3,6,5,2,2,1,1,1.1540824174880981,8.197267389365464,67.19519265275449,0.6597553725334309,0.9781718952139389,0.0140929188718844
1386,3,9,4,5,6,2,2,1,1,1.2131845951080322,5.743817424211829,32.99143860267941,0.6499685668598761,0.9502022677336583,0.013298767902799744
1988,3,9,4,5,6,2,2,1,1,1.149078130722046,5.726441114545603,32.79212783835828,0.651024933061975,0.9550410077806691,0.007608727477197986
2001,4,9,3,6,5,2,2,1,1,1.2053526639938354,4.526710594343444,20.491108804941177,0.6377490388537536,0.9195239602722975,0.004412918762940303
3366,3,9,4,5,6,2,2,1,1,1.0203651189804077,4.480007813185725,20.07047000620514,0.6469594911407412,0.9401637288512875,0.01250440104346133
3678,4,9,3,6,5,2,2,1,1,1.0203475952148438,7.840929032192142,61.48016808787361,0.6599519751001727,0.9810840720226643,0.014129235007900745
3745,4,9,3,6,5,2,2,1,1,1.9807440042495728,5.438719953182556,29.579674729146063,0.6132305835582749,0.8403554937262567,0.00940377691549178
3886,4,9,3,6,5,2,2,1,1,1.5454983711242676,4.688565430358124,21.98264579474926,0.6236066354219757,0.8725817435206557,0.00942345812494658
4301,3,9,4,5,6,2,2,1,1,1.1656321287155151,8.913252393648406,79.44606823287904,0.6622194659979861,0.9811074033628624,0.012192683421035721
4357,4,9,3,6,5,2,2,1,1,1.2429745197296143,5.896737413577735,34.77151212468743,0.648367321381034,0.9509822082668709,0.006049696907681718
4568,4,17,3,6,5,2,2,1,1,1.0867714881896973,7.004229163102169,49.059226169250906,0.6579838455905322,0.973163784053434,0.008941606519136955
