event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
117,3,12,4,5,6,2,2,2,2,1.2196111679077148,4.0826217695368445,16.667800513096154,0.3664168344215381,0.10547908227790484,0.0033384016463387906
570,4,27,3,5,6,2,2,2,2,1.7412959337234497,6.381369393405295,40.72187533508986,0.36068933003853765,0.08351381394836006,0.013255965997421156
1273,3,9,4,5,6,2,2,2,2,1.199576735496521,5.546877772879789,30.767853027267847,0.3510155158127016,0.05234876175275069,0.013771322330245302
1282,3,9,4,5,6,2,2,2,2,1.0811553001403809,4.036473656953417,16.293119583278894,0.3598306504748475,0.08416059441396136,0.0037778855063093377
1377,4,13,3,5,6,2,2,2,2,1.1344695091247559,4.787016527280531,22.915527232456952,0.6447920042505668,0.9361548647587377,0.005013754536477584
1384,3,9,4,5,6,2,2,2,2,1.0936081409454346,4.168888403233112,17.37963051861152,0.639466207490863,0.9205605065308633,0.004184163287824741
1415,3,12,4,5,6,2,2,2,2,1.0548914670944214,8.520074338379787,72.59166673151776,0.33915716824758807,0.017021141021029647,0.014687228508927336
1817,3,9,4,5,6,2,2,2,2,1.181701421737671,4.6379557414139585,21.510633459314704,0.35723305529861205,0.07451622387089749,0.005735504714608948
1868,4,19,3,5,6,2,2,2,2,1.4572243690490723,6.12075404388933,37.463630065787584,0.35323575370594423,0.06322712831338027,0.008553895857042353
1892,8,26,7,9,10,2,2,2,2,2.199568033218384,8.815215412424422,77.70802276744507,0.6442042184707687,0.9319712194401972,0.018388641820698187
2273,4,9,3,5,6,2,2,2,2,1.0762900114059448,4.577865147397108,20.956849307753146,0.6440621970690373,0.9371467392834079,0.004151551879346856
2770,3,9,4,5,6,2,2,2,2,1.4846408367156982,7.5958294966315005,57.69662574189715,0.6527882391699584,0.9584662003006958,0.017394699098017358
2784,3,13,4,5,6,2,2,2,2,1.637543797492981,6.865504065933697,47.135146079352126,0.6455685548492217,0.9374766710839693,0.014967904245584245
3213,4,9,3,5,6,2,2,2,2,1.0919021368026733,7.989828653992482,63.83736192015931,0.6601307669864384,0.9792730281496251,0.01492355495891228
4586,3,16,4,5,6,2,2,2,2,2.1668789386749268,4.591793061923736,21.08456352353096,0.44453179968190126,0.3220536106781568,0.0027498600635873383
